ticker,name,market,price,sma25,deviation,sigma2_lower,sigma3_lower,sigma2_upper,sigma3_upper,price_at_2s,price_at_3s,dist_to_2s,zone,stat_days,std,div_yield,div_per_share,div_at_2s,buy_score,price_at_3pct,price_at_4pct,price_at_5pct,price_at_6pct
8766.T,東京海上HD,Nikkei225,6089.0,6203.76,-1.85,-1644.082,-2460.846,1622.971,2439.734,-95791.2,-146461.2,-106.36,MILD DIP,6511,816.763,347.0,211.0,0.0,80,7033.3,5275.0,4220.0,3516.7
4506.T,住友ファーマ,Nikkei225,1907.5,2343.88,-18.618,-13.197,-19.988,13.971,20.762,2034.6,1875.4,-6.25,BUY ZONE,6511,6.792,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0
8233.T,高島屋,Nikkei225,1843.0,2100.78,-12.271,-11.159,-16.895,11.787,17.523,1866.4,1745.9,-1.25,BUY ZONE,6511,5.736,184.0,34.0,181.7,83,1133.3,850.0,680.0,566.7
4151.T,協和キリン,Nikkei225,2281.5,2532.94,-9.927,-9.483,-14.366,10.048,14.931,2292.7,2169.0,-0.49,BUY ZONE,6511,4.883,307.0,70.0,305.5,87,2333.3,1750.0,1400.0,1166.7
4902.T,コニカミノルタ,Nikkei225,514.4,593.28,-13.296,-13.181,-19.895,13.677,20.391,515.1,475.2,-0.13,BUY ZONE,6511,6.714,194.0,10.0,193.74,83,333.3,250.0,200.0,166.7
6479.T,ミネベアミツミ,Nikkei225,2832.0,3253.72,-12.961,-12.887,-19.483,13.5,20.097,2834.4,2619.8,-0.09,BUY ZONE,6511,6.597,177.0,50.0,176.85,83,1666.7,1250.0,1000.0,833.3
4188.T,三菱ケミカルG,Nikkei225,976.1,1087.5,-10.244,-10.317,-15.58,10.737,16.001,975.3,918.1,0.08,MILD DIP,6511,5.263,328.0,32.0,328.27,73,1066.7,800.0,640.0,533.3
8267.T,イオン,Nikkei225,1988.5,2205.49,-9.839,-10.166,-15.497,11.154,16.484,1981.3,1863.7,0.36,MILD DIP,6511,5.33,136.0,27.0,136.5,73,900.0,675.0,540.0,450.0
GEHC,GE HealthCare,NASDAQ100,72.73,80.39,-9.533,-9.863,-15.028,10.8,15.965,72.5,68.3,0.37,MILD DIP,785,5.166,19.0,0.14,19.07,63,4.7,3.5,2.8,2.3
5233.T,太平洋セメント,Nikkei225,3870.0,4407.64,-12.198,-12.644,-19.128,13.293,19.778,3850.3,3564.5,0.51,MILD DIP,6511,6.484,258.0,100.0,259.32,73,3333.3,2500.0,2000.0,1666.7
9202.T,ANA HD,Nikkei225,2977.5,3247.94,-8.327,-8.81,-13.266,9.015,13.472,2961.8,2817.1,0.53,MILD DIP,6511,4.456,202.0,60.0,203.07,77,2000.0,1500.0,1200.0,1000.0
7270.T,SUBARU,Nikkei225,2698.5,3038.68,-11.195,-11.771,-17.882,12.674,18.785,2681.0,2495.3,0.65,MILD DIP,6511,6.111,426.0,115.0,428.78,73,3833.3,2875.0,2300.0,1916.7
5831.T,しずおかFG,Nikkei225,2692.5,2881.38,-6.555,-7.177,-11.701,10.917,15.441,2674.6,2544.2,0.67,MILD DIP,816,4.524,305.0,82.0,307.04,67,2733.3,2050.0,1640.0,1366.7
7733.T,オリンパス,Nikkei225,1419.5,1617.74,-12.254,-12.956,-19.635,13.759,20.438,1408.1,1300.1,0.81,MILD DIP,6511,6.679,211.0,30.0,212.7,73,1000.0,750.0,600.0,500.0
SHW,Sherwin-Williams,Dow30,330.33,356.55,-7.354,-8.21,-12.744,9.927,14.461,327.3,311.1,0.93,MILD DIP,11565,4.534,96.0,3.2,96.9,77,106.7,80.0,64.0,53.3
MDLZ,Mondelez,NASDAQ100,56.58,59.85,-5.464,-6.349,-9.699,7.054,10.404,56.1,54.0,0.94,MILD DIP,6197,3.351,344.0,2.0,347.25,77,66.7,50.0,40.0,33.3
MCHP,Microchip Tech,NASDAQ100,65.33,74.46,-12.265,-13.537,-20.793,15.486,22.742,64.4,59.0,1.47,MILD DIP,8276,7.256,280.0,1.82,284.12,70,60.7,45.5,36.4,30.3
NXPI,NXP Semi,NASDAQ100,203.03,227.19,-10.634,-11.979,-18.49,14.063,20.573,200.0,185.2,1.53,MILD DIP,3897,6.511,198.0,4.06,201.03,70,135.3,101.5,81.2,67.7
8053.T,住友商事,Nikkei225,5772.0,6296.24,-8.326,-9.845,-15.026,10.879,16.06,5676.4,5350.2,1.68,MILD DIP,6511,5.181,243.0,140.0,247.09,73,4666.7,3500.0,2800.0,2333.3
CDW,CDW,NASDAQ100,118.65,127.57,-6.992,-8.561,-13.235,10.132,14.805,116.6,110.7,1.72,MILD DIP,3170,4.673,209.0,2.52,212.59,74,84.0,63.0,50.4,42.0
AXP,American Express,Dow30,303.15,332.41,-8.801,-10.415,-15.906,11.55,17.042,297.8,279.5,1.8,MILD DIP,13531,5.491,124.0,3.8,126.23,73,126.7,95.0,76.0,63.3
4183.T,三井化学,Nikkei225,2049.5,2281.0,-10.149,-11.789,-17.785,12.192,18.188,2012.1,1875.3,1.86,MILD DIP,6511,5.995,366.0,75.0,372.81,73,2500.0,1875.0,1500.0,1250.0
MMM,3M,Dow30,155.25,164.21,-5.456,-7.26,-11.119,8.177,12.036,152.3,146.0,1.95,MILD DIP,16130,3.859,206.0,3.12,210.01,77,104.0,78.0,62.4,52.0
9532.T,大阪ガス,Nikkei225,6109.0,6439.64,-5.134,-6.991,-10.704,7.863,11.576,5989.5,5750.3,2.0,MILD DIP,6511,3.713,196.0,120.0,199.91,77,4000.0,3000.0,2400.0,2000.0
6952.T,カシオ計算機,Nikkei225,1398.0,1551.66,-9.903,-11.86,-17.938,12.454,18.532,1367.6,1273.3,2.22,MILD DIP,6511,6.078,322.0,45.0,329.15,73,1500.0,1125.0,900.0,750.0
NKE,Nike,Dow30,56.08,61.64,-9.023,-11.011,-16.89,12.507,18.387,54.9,51.2,2.23,MILD DIP,11385,5.88,290.0,1.64,296.48,73,54.7,41.0,32.8,27.3
3382.T,セブン&アイ,Nikkei225,2055.0,2201.89,-6.671,-8.866,-13.466,9.531,14.131,2006.7,1905.4,2.41,MILD DIP,6511,4.599,243.0,50.0,248.85,77,1666.7,1250.0,1000.0,833.3
9843.T,ニトリHD,Nikkei225,2803.0,3013.64,-6.99,-9.303,-14.27,10.562,15.528,2733.3,2583.6,2.55,MILD DIP,5776,4.966,110.0,30.8,112.81,77,1026.7,770.0,616.0,513.3
5101.T,横浜ゴム,Nikkei225,6312.0,6905.04,-8.589,-10.932,-16.745,12.321,18.134,6150.2,5748.8,2.63,MILD DIP,6511,5.813,349.0,220.0,358.18,73,7333.3,5500.0,4400.0,3666.7
4005.T,住友化学,Nikkei225,490.5,540.64,-9.274,-11.641,-17.559,12.029,17.946,477.7,445.7,2.68,MILD DIP,6511,5.918,275.0,13.5,282.37,73,450.0,337.5,270.0,225.0
6178.T,日本郵政,Nikkei225,1862.0,1965.78,-5.279,-7.803,-11.828,8.298,12.323,1812.4,1733.3,2.74,MILD DIP,2524,4.025,269.0,50.0,276.36,70,1666.7,1250.0,1000.0,833.3
9022.T,東海旅客鉄道,Nikkei225,4336.0,4578.24,-5.291,-8.11,-12.32,8.73,12.94,4207.0,4014.2,3.07,MILD DIP,6249,4.21,74.0,32.0,76.27,67,1066.7,800.0,640.0,533.3
6902.T,デンソー,Nikkei225,2007.0,2159.78,-7.074,-9.846,-14.964,10.623,15.74,1947.1,1836.6,3.08,MILD DIP,6511,5.117,319.0,64.0,328.81,63,2133.3,1600.0,1280.0,1066.7
7269.T,スズキ,Nikkei225,2064.5,2238.72,-7.782,-10.581,-16.09,11.455,16.964,2001.8,1878.5,3.13,MILD DIP,6511,5.509,223.0,46.0,229.98,63,1533.3,1150.0,920.0,766.7
1812.T,鹿島建設,Nikkei225,6330.0,6861.4,-7.745,-10.549,-16.14,11.816,17.407,6137.6,5754.0,3.13,MILD DIP,6511,5.591,209.0,132.0,215.55,63,4400.0,3300.0,2640.0,2200.0
3116.T,トヨタ紡織,Nikkei225,2744.0,3028.12,-9.383,-12.232,-18.599,13.236,19.603,2657.7,2464.9,3.25,MILD DIP,6249,6.367,313.0,86.0,323.16,63,2866.7,2150.0,1720.0,1433.3
7309.T,シマノ,Nikkei225,16080.0,17115.4,-6.05,-9.033,-13.793,10.009,14.769,15569.4,14754.6,3.28,MILD DIP,6249,4.76,226.0,363.0,233.41,67,12100.0,9075.0,7260.0,6050.0
8604.T,野村HD,Nikkei225,1218.5,1362.12,-10.544,-13.471,-20.268,13.718,20.515,1178.6,1086.0,3.38,MILD DIP,6511,6.797,443.0,54.0,457.98,63,1800.0,1350.0,1080.0,900.0
7751.T,キヤノン,Nikkei225,4473.0,4728.24,-5.398,-8.877,-13.456,9.44,14.019,4308.5,4092.0,3.82,MILD DIP,6511,4.579,358.0,160.0,371.67,67,5333.3,4000.0,3200.0,2666.7
2502.T,アサヒGHD,Nikkei225,1606.0,1678.68,-4.33,-7.884,-12.028,8.695,12.84,1546.3,1476.8,3.86,MILD DIP,6511,4.145,320.0,52.0,332.35,67,1733.3,1300.0,1040.0,866.7
7203.T,トヨタ自動車,Nikkei225,3473.0,3671.4,-5.404,-8.958,-13.664,9.868,14.574,3342.5,3169.7,3.9,MILD DIP,6684,4.706,274.0,95.0,284.7,67,3166.7,2375.0,1900.0,1583.3
3402.T,東レ,Nikkei225,1178.0,1250.26,-5.78,-9.404,-14.266,10.047,14.91,1132.7,1071.9,4.0,MILD DIP,6511,4.863,170.0,20.0,176.8,67,666.7,500.0,400.0,333.3
5401.T,日本製鉄,Nikkei225,600.0,649.42,-7.609,-11.237,-16.982,11.746,17.492,576.4,539.1,4.09,MILD DIP,6511,5.746,400.0,24.0,416.35,63,800.0,600.0,480.0,400.0
TXN,Texas Instruments,NASDAQ100,197.46,214.69,-8.027,-11.698,-17.842,12.879,19.023,189.6,176.4,4.16,MILD DIP,13531,6.144,290.0,5.68,302.06,63,189.3,142.0,113.6,94.7
7267.T,ホンダ,Nikkei225,1466.5,1559.14,-5.942,-9.723,-14.751,10.388,15.416,1407.5,1329.2,4.19,MILD DIP,6511,5.028,477.0,70.0,496.98,63,2333.3,1750.0,1400.0,1166.7
2801.T,キッコーマン,Nikkei225,1384.0,1457.74,-5.059,-8.911,-13.633,9.978,14.701,1327.8,1259.0,4.23,MILD DIP,6511,4.722,217.0,30.0,226.18,67,1000.0,750.0,600.0,500.0
5108.T,ブリヂストン,Nikkei225,3413.0,3629.68,-5.97,-9.794,-14.876,10.536,15.618,3274.2,3089.7,4.24,MILD DIP,6511,5.082,381.0,130.0,397.15,63,4333.3,3250.0,2600.0,2166.7
6506.T,安川電機,Nikkei225,4523.0,5089.23,-11.126,-14.785,-22.461,15.923,23.599,4336.8,3946.1,4.29,MILD DIP,6252,7.677,150.0,68.0,156.44,60,2266.7,1700.0,1360.0,1133.3
4452.T,花王,Nikkei225,6294.0,6501.6,-3.193,-7.238,-10.991,7.771,11.524,6031.0,5787.0,4.36,MILD DIP,6511,3.752,124.0,78.0,129.41,67,2600.0,1950.0,1560.0,1300.0
PG,Procter & Gamble,Dow30,156.01,159.54,-2.215,-6.297,-9.703,7.327,10.733,149.5,144.1,4.36,MILD DIP,16130,3.406,272.0,4.23,283.85,67,141.0,105.8,84.6,70.5
KDP,Keurig Dr Pepper,NASDAQ100,28.04,29.16,-3.836,-7.878,-12.16,9.25,13.532,26.9,25.6,4.39,MILD DIP,4464,4.282,326.0,0.92,340.31,64,30.7,23.0,18.4,15.3
6472.T,NTN,Nikkei225,357.2,397.38,-10.111,-13.907,-20.993,14.439,21.525,342.1,314.0,4.41,MILD DIP,6511,7.086,308.0,11.0,321.58,60,366.7,275.0,220.0,183.3
8331.T,千葉銀行,Nikkei225,2113.5,2250.16,-6.073,-10.065,-15.304,10.892,16.131,2023.7,1905.8,4.44,MILD DIP,6511,5.239,265.0,56.0,276.76,63,1866.7,1400.0,1120.0,933.3
9024.T,西武HD(注:代替),Nikkei225,4115.0,4432.16,-7.156,-11.187,-17.011,12.11,17.935,3936.3,3678.2,4.54,MILD DIP,2899,5.824,97.0,40.0,101.4,56,1333.3,1000.0,800.0,666.7
GS,Goldman Sachs,Dow30,833.81,893.57,-6.688,-10.77,-16.456,11.974,17.66,797.3,746.5,4.57,MILD DIP,6730,5.686,216.0,18.0,225.88,63,600.0,450.0,360.0,300.0
9007.T,小田急電鉄,Nikkei225,1668.5,1719.16,-2.947,-7.204,-10.936,7.722,11.454,1595.3,1531.2,4.59,MILD DIP,6511,3.732,300.0,50.0,313.76,67,1666.7,1250.0,1000.0,833.3
3289.T,東急不動産HD,Nikkei225,1419.0,1504.72,-5.697,-9.88,-14.992,10.569,15.682,1356.1,1279.1,4.64,MILD DIP,3032,5.112,314.0,44.5,328.57,60,1483.3,1112.5,890.0,741.7
7201.T,日産自動車,Nikkei225,381.0,412.78,-7.699,-11.939,-17.989,12.26,18.31,363.5,338.5,4.81,MILD DIP,6511,6.05,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0
9503.T,関西電力,Nikkei225,2481.5,2629.3,-5.621,-9.953,-15.053,10.447,15.547,2367.6,2233.5,4.81,MILD DIP,6511,5.1,363.0,90.0,380.46,63,3000.0,2250.0,1800.0,1500.0
4528.T,小野薬品,Nikkei225,2410.0,2523.54,-4.499,-8.922,-13.565,9.65,14.293,2298.4,2181.2,4.86,MILD DIP,6249,4.643,332.0,80.0,348.12,67,2666.7,2000.0,1600.0,1333.3
IBM,IBM,Dow30,250.2,260.21,-3.847,-8.355,-12.748,9.22,13.614,238.5,227.0,4.92,MILD DIP,16130,4.394,265.0,6.72,278.03,67,224.0,168.0,134.4,112.0
PCAR,PACCAR,NASDAQ100,119.02,125.25,-4.973,-9.624,-14.803,11.091,16.27,113.2,106.7,5.15,MILD DIP,11565,5.179,109.0,1.32,114.61,53,44.0,33.0,26.4,22.0
PEP,PepsiCo,NASDAQ100,160.78,164.36,-2.181,-6.99,-10.772,8.137,11.919,152.9,146.7,5.17,MILD DIP,13531,3.782,352.0,5.69,370.2,57,189.7,142.2,113.8,94.8
5201.T,AGC,Nikkei225,5905.0,6288.76,-6.102,-10.798,-16.332,11.337,16.87,5609.7,5261.7,5.26,MILD DIP,6511,5.534,356.0,210.0,374.74,53,7000.0,5250.0,4200.0,3500.0
7752.T,リコー,Nikkei225,1353.5,1442.5,-6.17,-10.901,-16.443,11.263,16.805,1285.2,1205.3,5.31,MILD DIP,6684,5.541,296.0,40.0,311.72,53,1333.3,1000.0,800.0,666.7
BA,Boeing,Dow30,217.76,233.28,-6.651,-11.424,-17.442,12.647,18.665,206.6,192.6,5.39,MILD DIP,16130,6.018,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0
CHTR,Charter Comm,NASDAQ100,219.33,231.23,-5.147,-10.027,-15.372,11.355,16.7,208.0,195.7,5.42,MILD DIP,4045,5.345,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0
8411.T,みずほFG,Nikkei225,6451.0,6990.88,-7.723,-12.506,-19.116,13.933,20.543,6116.6,5654.5,5.47,MILD DIP,5680,6.61,225.0,145.0,237.3,53,4833.3,3625.0,2900.0,2416.7
MDB,MongoDB,NASDAQ100,270.56,323.9,-16.467,-20.824,-32.053,24.094,35.323,256.4,220.1,5.5,MILD DIP,2083,11.229,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0
9001.T,東武鉄道,Nikkei225,2943.5,2997.78,-1.811,-7.066,-10.703,7.484,11.121,2786.0,2676.9,5.65,MILD DIP,6511,3.637,238.0,70.0,251.46,57,2333.3,1750.0,1400.0,1166.7
6954.T,ファナック,Nikkei225,6153.0,6529.12,-5.761,-10.802,-16.376,11.494,17.068,5823.9,5459.9,5.65,MILD DIP,6511,5.574,167.0,102.66,176.44,53,3422.0,2566.5,2053.2,1711.0
HD,Home Depot,Dow30,357.15,377.43,-5.374,-10.442,-16.234,12.727,18.52,338.0,316.2,5.66,MILD DIP,11182,5.792,264.0,9.32,278.94,53,310.7,233.0,186.4,155.3
7186.T,コンコルディアFG,Nikkei225,1516.5,1592.98,-4.801,-9.908,-15.257,11.49,16.839,1435.2,1349.9,5.67,MILD DIP,2424,5.349,277.0,42.0,292.7,46,1400.0,1050.0,840.0,700.0
V,Visa,Dow30,314.43,320.4,-1.864,-7.151,-11.155,8.868,12.873,297.5,284.7,5.69,MILD DIP,4498,4.005,85.0,2.68,89.84,54,89.3,67.0,53.6,44.7
2914.T,JT,Nikkei225,5743.0,5910.4,-2.832,-8.126,-12.455,9.191,13.52,5430.1,5174.3,5.76,MILD DIP,6511,4.329,421.0,242.0,445.26,57,8066.7,6050.0,4840.0,4033.3
MRK,Merck,Dow30,117.09,119.95,-2.388,-7.702,-11.855,8.914,13.068,110.7,105.7,5.76,MILD DIP,16130,4.154,290.0,3.4,306.69,57,113.3,85.0,68.0,56.7
5411.T,JFE HD,Nikkei225,1983.5,2161.3,-8.227,-13.294,-20.104,13.948,20.759,1874.0,1726.8,5.84,MILD DIP,5799,6.811,403.0,80.0,426.55,53,2666.7,2000.0,1600.0,1333.3
KO,Coca-Cola,Dow30,77.88,78.87,-1.261,-6.798,-10.494,7.985,11.68,73.5,70.6,5.94,MILD DIP,16130,3.696,265.0,2.06,280.74,57,68.7,51.5,41.2,34.3
9434.T,ソフトバンク,Nikkei225,215.0,212.5,1.178,-4.506,-7.036,5.614,8.144,202.9,197.5,5.95,NEUTRAL,1735,2.53,400.0,8.6,423.81,53,286.7,215.0,172.0,143.3
JPM,JPMorgan Chase,Dow30,288.73,304.78,-5.265,-10.582,-16.201,11.894,17.513,272.5,255.4,5.95,MILD DIP,11565,5.619,207.0,6.0,219.31,53,200.0,150.0,120.0,100.0
3088.T,マツキヨココカラ,Nikkei225,2450.5,2561.6,-4.337,-9.731,-14.873,10.841,15.984,2312.3,2180.6,5.97,MILD DIP,6249,5.143,196.0,48.0,207.71,53,1600.0,1200.0,960.0,800.0
8354.T,ふくおかFG,Nikkei225,6188.0,6536.8,-5.336,-10.685,-16.198,11.367,16.88,5838.4,5478.0,5.99,MILD DIP,6252,5.513,307.0,190.0,325.38,53,6333.3,4750.0,3800.0,3166.7
9008.T,京王電鉄,Nikkei225,3969.0,4051.24,-2.03,-7.584,-11.494,8.056,11.966,3744.0,3585.6,6.01,MILD DIP,6511,3.91,277.0,110.0,293.65,57,3666.7,2750.0,2200.0,1833.3
9064.T,ヤマトHD,Nikkei225,1801.0,1875.12,-3.953,-9.429,-14.147,9.445,14.164,1698.3,1609.8,6.05,MILD DIP,6511,4.719,255.0,46.0,270.42,57,1533.3,1150.0,920.0,766.7
2002.T,日清製粉G,Nikkei225,2079.5,2118.42,-1.837,-7.433,-11.326,8.14,12.033,1961.0,1878.5,6.05,MILD DIP,6511,3.893,289.0,60.0,306.47,57,2000.0,1500.0,1200.0,1000.0
7205.T,日野自動車(注:代替),Nikkei225,411.0,447.16,-8.087,-13.328,-20.101,13.763,20.536,387.6,357.3,6.05,MILD DIP,6511,6.773,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0
6141.T,DMG森精機,Nikkei225,2650.0,2909.32,-8.913,-14.13,-21.393,14.925,22.188,2498.2,2286.9,6.07,MILD DIP,6249,7.264,396.0,105.0,420.05,50,3500.0,2625.0,2100.0,1750.0
9021.T,西日本旅客鉄道,Nikkei225,3263.0,3334.2,-2.135,-7.78,-11.792,8.265,12.276,3074.8,2941.0,6.12,MILD DIP,6511,4.011,279.0,91.0,296.08,57,3033.3,2275.0,1820.0,1516.7
7211.T,三菱自動車,Nikkei225,373.2,413.39,-9.722,-14.974,-22.338,14.482,21.846,351.5,321.0,6.18,MILD DIP,6511,7.364,268.0,10.0,284.56,50,333.3,250.0,200.0,166.7
6473.T,ジェイテクト,Nikkei225,1822.0,1970.62,-7.542,-12.963,-19.62,13.663,20.32,1715.2,1584.0,6.23,MILD DIP,6511,6.657,329.0,60.0,349.49,53,2000.0,1500.0,1200.0,1000.0
9020.T,東日本旅客鉄道,Nikkei225,3754.0,3810.24,-1.476,-7.302,-11.075,7.793,11.566,3532.0,3388.3,6.28,MILD DIP,6511,3.774,186.0,70.0,197.69,57,2333.3,1750.0,1400.0,1166.7
7261.T,マツダ,Nikkei225,1159.0,1281.86,-9.585,-14.947,-22.481,15.188,22.722,1090.3,993.7,6.3,MILD DIP,6511,7.534,475.0,55.0,504.95,50,1833.3,1375.0,1100.0,916.7
AZN,AstraZeneca,NASDAQ100,194.99,199.01,-2.021,-7.838,-12.08,9.129,13.371,183.4,175.0,6.31,MILD DIP,8239,4.242,164.0,3.2,174.35,57,106.7,80.0,64.0,53.3
9531.T,東京ガス,Nikkei225,7447.0,7552.2,-1.393,-7.25,-11.11,8.189,12.049,7004.6,6713.1,6.32,MILD DIP,6511,3.86,134.0,100.0,142.46,57,3333.3,2500.0,2000.0,1666.7
8306.T,三菱UFJ FG,Nikkei225,2721.5,2876.38,-5.385,-11.076,-16.804,11.838,17.566,2557.8,2393.0,6.4,MILD DIP,5014,5.728,287.0,78.0,305.37,53,2600.0,1950.0,1560.0,1300.0
3401.T,帝人,Nikkei225,1573.5,1643.06,-4.234,-10.027,-15.092,10.233,15.298,1478.3,1395.1,6.44,MILD DIP,6511,5.065,318.0,50.0,338.48,53,1666.7,1250.0,1000.0,833.3
7003.T,三井E&S,Nikkei225,6340.0,7226.96,-12.273,-17.663,-26.825,18.987,28.149,5950.5,5288.3,6.55,MILD DIP,6511,9.162,79.0,50.0,84.17,50,1666.7,1250.0,1000.0,833.3
1801.T,大成建設,Nikkei225,17375.0,18218.8,-4.631,-10.504,-16.114,11.937,17.547,16305.1,15283.0,6.56,MILD DIP,6511,5.61,144.0,250.0,153.45,53,8333.3,6250.0,5000.0,4166.7
8304.T,あおぞら銀行(注:代替),Nikkei225,2579.0,2725.3,-5.368,-11.199,-16.856,11.43,17.087,2420.1,2265.9,6.57,MILD DIP,4721,5.657,341.0,88.0,363.39,50,2933.3,2200.0,1760.0,1466.7
4208.T,UBE,Nikkei225,2598.5,2763.82,-5.982,-11.812,-17.84,12.301,18.329,2437.4,2270.8,6.61,MILD DIP,6511,6.028,423.0,110.0,450.96,53,3666.7,2750.0,2200.0,1833.3
1803.T,清水建設,Nikkei225,3160.0,3310.7,-4.552,-10.551,-16.125,11.745,17.319,2961.4,2776.9,6.71,MILD DIP,6511,5.574,206.0,65.0,219.82,53,2166.7,1625.0,1300.0,1083.3
3861.T,王子HD,Nikkei225,922.7,954.72,-3.354,-9.509,-14.38,9.974,14.845,863.9,817.4,6.8,MILD DIP,6511,4.871,390.0,36.0,416.53,57,1200.0,900.0,720.0,600.0
1332.T,日本水産,Nikkei225,1402.0,1462.92,-4.164,-10.311,-15.743,11.418,16.85,1312.1,1232.6,6.85,MILD DIP,6511,5.432,257.0,36.0,274.61,53,1200.0,900.0,720.0,600.0
ADP,ADP,NASDAQ100,217.37,219.35,-0.903,-7.32,-11.322,8.688,12.691,203.3,194.5,6.92,MILD DIP,11565,4.002,305.0,6.8,326.12,57,226.7,170.0,136.0,113.3
LIN,Linde,NASDAQ100,477.94,484.03,-1.259,-7.666,-11.856,9.095,13.285,446.9,426.6,6.94,MILD DIP,8467,4.19,132.0,6.4,141.16,57,213.3,160.0,128.0,106.7
8316.T,三井住友FG,Nikkei225,5356.0,5728.56,-6.504,-12.576,-19.08,13.44,19.944,5008.1,4635.5,6.95,MILD DIP,6511,6.504,293.0,157.0,313.35,53,5233.3,3925.0,3140.0,2616.7
MAR,Marriott,NASDAQ100,326.0,340.14,-4.158,-10.404,-15.925,11.682,17.203,304.8,286.0,6.97,MILD DIP,7011,5.521,81.0,2.68,86.65,53,89.3,67.0,53.6,44.7
1928.T,積水ハウス,Nikkei225,3606.0,3672.64,-1.814,-8.232,-12.561,9.083,13.412,3370.3,3211.3,6.99,MILD DIP,6511,4.329,405.0,146.0,433.32,57,4866.7,3650.0,2920.0,2433.3
6504.T,富士電機,Nikkei225,10985.0,11843.4,-7.248,-13.311,-20.216,14.306,21.211,10266.9,9449.2,6.99,MILD DIP,6511,6.904,166.0,182.0,177.61,53,6066.7,4550.0,3640.0,3033.3
5020.T,ENEOS HD,Nikkei225,1360.5,1413.36,-3.74,-10.096,-15.326,10.822,16.052,1270.7,1196.8,7.07,MILD DIP,6252,5.23,250.0,34.0,267.67,53,1133.3,850.0,680.0,566.7
3407.T,旭化成,Nikkei225,1669.0,1724.68,-3.228,-9.649,-14.66,10.396,15.407,1558.3,1471.8,7.11,MILD DIP,6511,5.011,240.0,40.0,257.05,53,1333.3,1000.0,800.0,666.7
IDXX,IDEXX Labs,NASDAQ100,598.85,635.1,-5.708,-11.998,-18.502,14.019,20.523,558.9,517.6,7.15,MILD DIP,8717,6.504,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0
5301.T,東海カーボン,Nikkei225,988.2,1059.14,-6.698,-13.002,-19.766,14.054,20.819,921.4,849.8,7.25,MILD DIP,6511,6.764,304.0,30.0,326.03,53,1000.0,750.0,600.0,500.0
4612.T,日本ペイントHD,Nikkei225,1050.0,1101.56,-4.681,-11.137,-17.043,12.485,18.391,978.9,913.8,7.27,MILD DIP,6252,5.906,171.0,18.0,183.42,53,600.0,450.0,360.0,300.0
1925.T,大和ハウス,Nikkei225,5335.0,5483.68,-2.711,-9.308,-14.216,10.324,15.232,4973.3,4704.1,7.27,MILD DIP,6511,4.908,309.0,165.0,331.48,57,5500.0,4125.0,3300.0,2750.0
5406.T,神戸製鋼所,Nikkei225,2059.0,2221.6,-7.319,-13.647,-20.671,14.448,21.471,1918.4,1762.4,7.33,MILD DIP,6511,7.024,389.0,80.0,417.51,50,2666.7,2000.0,1600.0,1333.3
7951.T,ヤマハ,Nikkei225,1117.5,1174.4,-4.845,-11.342,-17.234,12.223,18.114,1041.2,972.0,7.33,MILD DIP,6511,5.891,233.0,26.0,250.08,53,866.7,650.0,520.0,433.3
1802.T,大林組,Nikkei225,3910.0,4062.88,-3.763,-10.364,-15.843,11.552,17.031,3641.8,3419.2,7.36,MILD DIP,6511,5.479,223.0,87.0,239.42,53,2900.0,2175.0,1740.0,1450.0
6326.T,クボタ,Nikkei225,2754.0,2879.74,-4.366,-10.975,-16.73,12.044,17.799,2563.7,2398.0,7.42,MILD DIP,6511,5.755,189.0,52.0,203.03,53,1733.3,1300.0,1040.0,866.7
3659.T,ネクソン,Nikkei225,3096.0,3315.6,-6.623,-13.089,-19.993,14.529,21.433,2881.6,2652.7,7.44,MILD DIP,3478,6.904,194.0,60.0,208.43,50,2000.0,1500.0,1200.0,1000.0
9502.T,中部電力,Nikkei225,2476.5,2508.34,-1.269,-8.105,-12.279,8.59,12.764,2305.0,2200.3,7.44,MILD DIP,6511,4.174,283.0,70.0,304.05,57,2333.3,1750.0,1400.0,1166.7
2802.T,味の素,Nikkei225,4373.0,4410.16,-0.843,-7.715,-11.805,8.646,12.736,4069.9,3889.5,7.45,MILD DIP,6511,4.09,110.0,48.0,118.19,57,1600.0,1200.0,960.0,800.0
9984.T,ソフトバンクG,Nikkei225,3632.0,4161.2,-12.717,-18.797,-28.413,19.669,29.286,3379.0,2978.9,7.49,MILD DIP,6511,9.617,30.0,11.0,32.25,50,366.7,275.0,220.0,183.3
4631.T,DIC,Nikkei225,3988.0,4171.64,-4.402,-11.067,-16.726,11.567,17.226,3710.0,3473.9,7.49,MILD DIP,6252,5.659,351.0,140.0,377.31,53,4666.7,3500.0,2800.0,2333.3
1333.T,マルハニチロ,Nikkei225,1487.5,1491.58,-0.274,-7.31,-11.244,8.428,12.363,1382.6,1323.9,7.59,MILD DIP,2915,3.934,273.0,40.67,293.72,50,1355.7,1016.8,813.4,677.8
